tacubaya,19.40184,-99.186752,2
andres_molina,19.397833,-99.129143,2
xola,19.394239,-99.139992,2
tepalcates,19.390709,-99.047417,2
rio_mayo,19.387106,-99.080261,2
upiicsa,19.393915,-99.090385,2
general_antonio_de_leon,19.38493,-99.051758,2
las_americas,19.39348,-99.134842,2
rojo_gomez,19.38422,-99.07608,2
alamos,19.394604,-99.142555,2
coyuya,19.398268,-99.11702,2
canal_de_san_juan,19.396456,-99.056015,2
patriotismo,19.405586,-99.177582,2
antonio_maceo,19.404936,-99.18586,2
de_la_salle,19.40766,-99.183746,2
escandon,19.4044,-99.173973,2
amores,19.396929,-99.164116,2
leyes_de_reforma,19.383402,-99.065933,2
rio_tecolutla,19.388918,-99.083008,2
doctor_vertiz,19.395544,-99.151352,2
etiopia,19.395868,-99.155685,2
centro_scop,19.395208,-99.146416,2
el_rodeo,19.391872,-99.087463,2
canela,19.397827,-99.109451,2
goma,19.39687,-99.09948,2
cch_oriente,19.382845,-99.060692,2
nuevo_leon,19.403549,-99.169624,2
rio_frio,19.387562,-99.074142,2
tlacotal,19.397196,-99.103523,2
constitucion_de_apatzingan,19.38921,-99.059868,2
nicolas_bravo,19.393724,-99.051308,2
iztacalco,19.396507,-99.096107,2
del_moral,19.384201,-99.070885,2
parque_lira,19.407742,-99.189377,2
viaducto,19.401443,-99.168144,2
la_viga,19.398054,-99.1241,2
